Time (s),X Axis (m/s^2),Y Axis (m/s^2),Z Axis (m/s^2)
4.906723198,0.638188973,-0.239378366,0.182414979
4.907328892,0.322046395,0.019283743,-0.28221881
4.907934585,-0.614406242,0.804850149,0.02194867
4.908540279,-0.192882804,0.756949759,0.546457947
4.909145972,-0.207252922,-0.172317819,-0.023556701
4.909751666,-0.051576652,0.119874563,-0.483400451
4.910357359,-0.190487785,-0.100467234,-0.114567443
4.910963053,0.008298836,-0.550730905,-0.193603088
4.911568746,0.271750985,-0.404634714,0.141699647
4.91217444,0.240615731,-0.22021821,0.261450623
4.912780133,-0.410829582,0.673124075,-0.045111877
4.913385827,-0.652726554,0.958131399,0.728479432
4.91399152,0.037039071,0.222860403,0.304560975
4.914597214,-0.056366691,-0.510015573,-0.500165588
4.915202907,-0.154562492,0.091134329,-0.528905822
4.915808601,0.027458992,-0.543545847,-0.263058654
4.916414294,0.635793953,-0.941119089,-0.116962463
4.917019988,0.357971688,0.007308645,-0.013976623
4.917625681,-0.080316886,0.316266165,0.007578553
4.918231375,-0.31981884,1.192843313,0.467422303
4.918837068,-0.21443798,0.606063528,0.424311951
4.919442762,0.113679696,-0.759097605,-0.212763244
4.920048455,-0.142587394,-0.215428171,-0.636681701
4.920654149,0.190320321,-0.519595652,-0.787567932
4.921259843,0.396292,-0.969859323,-0.210368225
4.921865536,0.769915047,-0.356734323,-0.004396545
4.92247123,0.266960946,0.043233938,0.057873963
4.923076923,-0.403644523,1.118597708,0.546457947
4.923682617,-0.461124992,0.874305716,0.630283631
4.92428831,-0.195277824,-0.239378366,-0.227133361
4.924894004,-0.353349113,0.177355032,-0.703742248
4.925499697,0.152000008,-0.378289499,-0.526510803
4.926105391,0.528018075,-0.88363862,-0.229528381
4.926711084,0.60226368,-0.143577585,-0.037926818
4.927316778,0.619028817,-0.112442331,-0.054691955
4.927922471,-0.542555656,0.974896536,0.160859803
4.928528165,-0.698231925,1.015611868,0.43149701
4.929133858,-0.307843742,-0.289673777,0.000393494
4.929739552,0.051409188,0.201305227,-0.382809631
4.930345245,-0.247968254,-0.110047312,-0.227133361
4.930950939,0.125654793,-0.601026316,-0.413944885
4.931556632,0.132839852,-0.42618989,-0.013976623
4.932162326,0.379526864,-0.181897898,0.120144471
4.932768019,-0.006071281,0.737789602,0.388386658
4.933373713,-0.688651847,0.948551321,0.53448285
4.933979406,-0.121032218,0.218070364,0.323721131
4.9345851,-0.188092765,-0.428584909,-0.164862853
4.935190793,-0.006071281,-0.112442331,-0.610336486
4.935796487,0.099309578,-0.608211374,-0.013976623
4.93640218,0.357971688,-0.658506784,-0.08103717
4.937007874,0.317256356,-0.239378366,-0.025951721
4.937613568,-0.020441398,0.18933013,0.27582074
4.938219261,-0.47310009,1.075487356,0.714109315
4.938824955,-0.449149894,0.49589263,0.32611615
4.939430648,0.034644051,-0.514805612,-0.255873596
4.940036342,-0.408434562,-0.325599069,-0.605546447
4.940642035,0.305281258,-0.510015573,-0.627101623
4.941247729,0.923196297,-0.996204538,-0.116962463
4.941853422,0.923196297,-0.031011667,0.191995057
4.942459116,0.252590828,0.184540091,0.096194275
4.943064809,-0.429989738,0.998846731,0.508137635
4.943670503,-0.307843742,1.065907278,1.015881775
4.944276196,0.393896981,-0.383079538,0.017158631
4.94488189,-0.298263664,0.174960013,-0.713322326
4.945487583,-0.250363273,-0.37589448,-0.497770568
4.946093277,0.571128426,-0.907588816,-0.169652892
4.94669897,0.44658741,-0.27290864,-0.179232971
4.947304664,0.657349129,-0.172317819,-0.107382385
4.947910357,-0.499445304,0.958131399,0.002788514
4.948516051,-0.453939933,1.094647513,0.673393983
4.949121744,0.094519539,0.098319388,0.218340272
4.949727438,-0.027626457,0.050418997,-0.442685119
4.950333131,-0.444359855,-0.019036569,-0.12893756
4.950938825,0.214270516,-0.380684519,-0.217553283
4.951544518,0.427427254,-0.179502878,-0.066667053
4.952150212,0.350786629,0.057604056,-0.090617248
4.952755906,-0.3150288,0.462362356,-0.119357482
4.953361599,-0.477890129,0.673124075,0.383596619
4.953967293,0.099309578,0.122269583,0.165649842
4.954572986,0.027458992,-0.385474558,-0.442685119
4.95517868,0.111284676,0.004913626,-0.222343322
4.955784373,-0.197672843,-0.4764853,-0.43789508
4.956390067,0.274146004,-0.545940866,-0.313354064
4.95699576,0.477722664,-0.215428171,0.17762494
4.957601454,0.099309578,0.23962554,-0.191208068
4.958207147,-0.544950675,1.085067434,0.443472108
4.958812841,-0.219228019,0.668334036,0.915290955
4.959418534,0.130444832,-0.553125925,-0.047506896
4.960024228,-0.106662101,-0.390264597,-0.7468526
4.960629921,0.132839852,-0.672876902,-0.655841857
4.961235615,0.44658741,-1.149485788,-0.222343322
4.961841308,0.678904305,-0.337574167,-0.021161682
4.962447002,0.305281258,0.210885306,0.000393494
4.963052695,-0.441964836,1.092252493,0.572803162
4.963658389,-0.434779777,0.709049368,0.647048768
4.964264082,-0.030021476,-0.27290864,0.191995057
4.964869776,-0.202462883,-0.035801706,-0.512140685
4.965475469,-0.018046379,-0.344759226,-0.497770568
4.966081163,0.300491219,-0.917168894,-0.442685119
4.966686856,0.75793995,-0.335179148,-0.176837951
4.96729255,0.310071297,-0.107652292,0.005183533
4.967898243,-0.425199699,0.778504934,0.163254822
4.968503937,-0.485075187,0.946156302,0.754824647
4.969109631,-0.077921867,-0.098072214,0.321326111
4.969715324,-0.034811515,-0.133997507,-0.18402301
4.970321018,-0.509025383,0.174960013,-0.327724182
4.970926711,-0.039601554,-0.387869577,-0.378019592
4.971532405,0.190320321,-0.356734323,-0.150492736
4.972138098,0.489697762,-0.050171823,0.134514588
4.972743792,-0.31981884,0.4432022,-0.351674377
4.973349485,-0.657516593,1.046747122,0.261450623
4.973955179,-0.188092765,0.172564993,0.407546815
4.974560872,0.120864754,-0.57707612,-0.210368225
4.975166566,0.183135262,-0.260933542,-0.342094299
4.975772259,-0.053971672,-0.622581491,-0.521720764
4.976377953,0.278936043,-0.725567331,-0.255873596
4.976983646,0.199900399,-0.339969187,-0.009186584
4.97758934,0.185530282,0.246810598,0.196785096
4.978195033,-0.432384758,1.149732962,0.529692811
4.978800727,-0.365324211,0.716234427,0.551247986
4.97940642,0.068174325,-0.562706003,-0.195998107
4.980012114,-0.31742382,-0.227403269,-0.612731506
4.980617807,-0.11145214,-0.387869577,-0.655841857
4.981223501,0.374736825,-1.03691987,-0.43550006
4.981829194,0.429822274,-0.402239694,-0.021161682
4.982434888,0.427427254,-0.107652292,0.002788514
4.983040581,-0.276708488,0.788085013,0.390781678
4.983646275,-0.652726554,1.243138723,0.814700135
4.984251969,-0.156957511,-0.153157663,-0.023556701
4.984857662,-0.173722648,-0.198663034,-0.854628478
4.985463356,0.032249032,-0.133997507,-0.428315002
4.986069049,0.506462899,-0.902798777,-0.423524963
4.986674743,0.513647957,-0.414214792,-0.33490924
4.987280436,0.281331063,-0.203453073,0.148884705
4.98788613,-0.26712841,0.44559722,0.22552533
4.988491823,-0.554530754,1.013216848,0.498557557
4.989097517,-0.221623039,0.141429739,0.223130311
4.98970321,-0.037206535,-0.275303659,-0.423524963
4.990308904,-0.291078605,0.301896048,-0.457055236
4.990914597,0.096914559,-0.644136667,-0.198393127
4.991520291,0.415452157,-0.419004831,0.01955365
4.992125984,0.439402352,0.105504446,-0.308564025
4.992731678,-0.125822258,0.146219778,0.364436463
4.993337371,-0.379694328,0.831195364,0.606333436
4.993943065,-0.195277824,0.364166556,0.026738709
4.994548758,0.135234871,-0.289673777,0.1728349
4.995154452,-0.077921867,-0.205848093,-0.38759967
4.995760145,-0.046786613,-0.615396433,-0.572016174
4.996365839,0.504067879,-0.914773874,-0.164862853
4.996971532,0.24301075,-0.191477976,0.033923768
4.997577226,0.111284676,0.052814016,0.347671326
4.998182919,-0.585666008,0.85035552,0.551247986
4.998788613,-0.556925773,0.85035552,0.697344178
4.999394306,-0.06355175,-0.52917573,-0.224738342
5,-0.307843742,-0.213033152,-0.89534381
5.000605694,0.211875496,-0.385474558,-0.598361389
5.001211387,0.554363289,-1.130325632,-0.215158264
5.001817081,0.44658741,-0.248958444,-0.138517639
5.002422774,0.223850594,0.148614798,-0.088222228
5.003028468,-0.341374015,0.797665091,0.364436463
5.003634161,-0.391669425,1.001241751,0.879365662
5.004239855,-0.130612297,-0.225008249,0.043503846
5.004845548,-0.365324211,-0.093282175,-0.799543029
5.005451242,-0.31981884,-0.035801706,-0.370834533
5.006056935,0.54957325,-0.811788034,-0.413944885
5.006662629,0.437007332,-0.421399851,-0.217553283
5.007268322,0.389106942,-0.232193308,-0.07864215
5.007874016,-0.147377433,0.64677886,-0.229528381
5.008479709,-0.681466789,1.125782766,0.48179242
5.009085403,-0.01086132,0.143824759,0.472212342
5.009691096,-0.068341789,-0.150762644,-0.298983947
5.01029679,-0.269523429,0.059999075,-0.576806213
5.010902483,0.173555184,-0.42379487,-0.253478576
5.011508177,0.099309578,-0.37589448,0.115354432
5.01211387,0.640583992,-0.330389109,0.180019959
5.012719564,-0.125822258,0.407276907,-0.169652892
5.013325257,-0.492260246,1.221583548,0.213550233
5.013930951,-0.231203117,0.270760794,0.505742615
5.014536644,0.09212452,-0.419004831,-0.380414611
5.015142338,-0.003676261,-0.083702097,-0.342094299
5.015748031,-0.075526847,-0.390264597,-0.445080139
5.016353725,0.465747567,-0.771072702,-0.318144103
5.016959419,0.326836434,-0.217823191,-0.224738342
5.017565112,0.147209969,0.210885306,-0.006791564
5.018170806,-0.585666008,0.924601126,0.486582459
5.018776499,-0.487470207,0.776109915,0.467422303
5.019382193,-0.303053703,-0.366314402,-0.013976623
5.019987886,-0.133007316,-0.313623972,-0.555251037
5.02059358,-0.020441398,-0.586656198,-0.730087463
5.021199273,0.530413094,-0.864478464,-0.464240295
5.021804967,0.611843758,-0.282488718,-0.035531799
5.02241066,0.111284676,-0.124417429,-0.023556701
5.023016354,-0.118637199,0.879095755,0.239895447
5.023622047,-0.518605461,1.037167044,0.579988221
5.024227741,-0.041996574,-0.122022409,-0.104987365
5.024833434,0.020273934,-0.002271433,-0.428315002
5.025439128,-0.262338371,-0.004666452,-0.138517639
5.026044821,0.396292,-0.909983835,-0.404364807
5.026650515,0.563943367,-0.342364206,-0.258268615
5.027256208,0.405872078,-0.205848093,-0.076247131
5.027861902,-0.353349113,0.222860403,-0.289403869
5.028467595,-0.817982902,0.960526419,0.239895447
5.029073289,-0.11384716,-0.095677194,0.366831483
5.029678982,0.068174325,-0.236983347,-0.294193908
5.030284676,-0.31742382,0.18693511,-0.28461383
5.030890369,0.116074715,-0.349549265,-0.258268615
5.031496063,0.118469735,-0.402239694,-0.253478576
5.032101757,0.413057137,-0.277698679,-0.100197326
5.03270745,0.051409188,0.000123587,-0.093012267
