Time (s),Y Axis (m/s^2),Z Axis (m/s^2)
0.131348,0.57568023,1.10497878
0.131836,0.58335165,1.10651895
0.132324,0.56577213,1.10615598
0.132813,0.56984328,1.10320317
0.133301,0.58427379,1.1079414
0.133789,0.57287457,1.1090205
0.134277,0.56928411,1.10422341
0.134766,0.5849703,1.10556738
0.135254,0.58137984,1.1027421
0.135742,0.57147174,1.09975005
0.13623,0.5784957,1.10338956
0.136719,0.58372443,1.10520441
0.137207,0.57884886,1.10302659
0.137695,0.58141908,1.10346804
0.138184,0.57789729,1.10670534
0.138672,0.57560175,1.10367405
0.13916,0.5761413,1.10657781
0.139648,0.57191319,1.10923632
0.140137,0.5761413,1.10351709
0.140625,0.57706344,1.1032326
0.141113,0.5695686,1.10850057
0.141602,0.57187395,1.1038212
0.14209,0.57664161,1.10269305
0.142578,0.5725116,1.10233989
0.143066,0.5741793,1.10191806
0.143555,0.58084029,1.10123136
0.144043,0.58090896,1.10070162
0.144531,0.58285134,1.10154528
0.14502,0.57939822,1.0972485
0.145508,0.57287457,1.09869057
0.145996,0.58229217,1.09875924
0.146484,0.57739698,1.09923012
0.146973,0.56440854,1.09976967
0.147461,0.57834855,1.10074086
0.147949,0.58135041,1.10370348
0.148438,0.56056302,1.10505726
0.148926,0.56967651,1.10154528
0.149414,0.57841722,1.11106098
0.149902,0.56940183,1.10868696
0.150391,0.56627244,1.107549
0.150879,0.57815235,1.11033504
0.151367,0.57659256,1.10587149
0.151855,0.57020625,1.10336994
0.152344,0.57953556,1.10227122
0.152832,0.58409721,1.10193768
0.15332,0.58178205,1.09997568
0.153809,0.57924126,1.10125098
0.154297,0.58579434,1.10285982
0.154785,0.58594149,1.10147661
0.155273,0.5765337,1.10469429
0.155762,0.57178566,1.10534175
0.15625,0.58197825,1.09929879
0.156738,0.58429341,1.10536137
0.157227,0.56974518,1.10573415
0.157715,0.57461094,1.10356614
0.158203,0.58018302,1.10634237
0.158691,0.57213882,1.10640123
0.15918,0.56863665,1.10456676
0.159668,0.57591567,1.10673477
0.160156,0.57445398,1.10339937
0.160645,0.57445398,1.10100573
0.161133,0.58107573,1.10443923
0.161621,0.58019283,1.10437056
0.162109,0.58120326,1.10179053
0.162598,0.57567042,1.10337975
0.163086,0.57813273,1.10082915
0.163574,0.58413645,1.10082915
0.164063,0.57659256,1.10672496
0.164551,0.571923,1.10356614
0.165039,0.58220388,1.10441961
0.165527,0.58125231,1.10547909
0.166016,0.56222091,1.10278134
0.166504,0.57517992,1.10106459
0.166992,0.57615111,1.10701926
0.16748,0.5671161,1.10689173
0.167969,0.57445398,1.10318355
0.168457,0.57796596,1.10355633
0.168945,0.57498372,1.102644
0.169434,0.58017321,1.10458638
0.169922,0.58295925,1.10853981
0.17041,0.57179547,1.1054889
0.170898,0.57958461,1.10206521
0.171387,0.58227255,1.1083338
0.171875,0.57232521,1.10346804
0.172363,0.58060485,1.10513574
0.172852,0.58235103,1.10839266
0.17334,0.57407139,1.10467467
0.173828,0.57969252,1.10135889
0.174316,0.58211559,1.10758824
0.174805,0.57100086,1.10446866
0.175293,0.57729888,1.10164338
0.175781,0.5825178,1.11014865
0.17627,0.57353184,1.10511612
0.176758,0.57393405,1.1050965
0.177246,0.57876057,1.10579301
0.177734,0.57601377,1.10788254
0.178223,0.57589605,1.10865753
0.178711,0.57449322,1.10437056
0.179199,0.57043188,1.1039193
0.179688,0.57449322,1.10423322
0.180176,0.5765337,1.104606
0.180664,0.57034359,1.10678382
0.181152,0.57395367,1.10269305
0.181641,0.58257666,1.10275191
0.182129,0.57409101,1.10612655
0.182617,0.57597453,1.10451771
0.183105,0.57745584,1.10429208
0.183594,0.57364956,1.10291868
0.184082,0.57872133,1.10256552
0.18457,0.57480714,1.10232027
0.185059,0.57561156,1.10119212
0.185547,0.5723154,1.10288925
