Time (s),X Accel (m/s^2),Y Accel (m/s^2)
18.390211,2.03179815,0.82226439
18.390698999999998,2.02567671,0.82621782
18.391188,2.02529412,0.8261001
18.391675999999997,2.02452894,0.85087035
18.392164,2.01955527,0.86617395
18.392652,2.01534678,0.8853525
18.393141,2.01266865,0.89738937
18.393628999999997,2.00693961,0.8627895
18.394117,1.99048824,0.85192983
18.394605,1.98589716,0.8126604
18.395094,1.96983819,0.8138376
18.395581999999997,1.96409934,0.82412829
18.39607,1.96295157,0.84125655
18.396559,1.96448193,0.88394967
18.397047,1.97022078,0.8961435
18.397534999999998,1.97748018,0.91235943
18.398023,1.99469673,0.90761139
18.398511999999997,1.99737486,0.88987491
18.399,2.02720707,0.86150439
18.399487999999998,2.00961774,0.84695616
18.399977,2.0034963,0.84847671
18.400464999999997,2.02032045,0.88186014
18.400953,1.98895788,0.90020484
18.401441,2.00617443,0.9173331
18.40193,1.99163601,0.9178236
18.402417999999997,1.98589716,0.89549604
18.402906,1.97824536,0.89675172
18.403395,1.98513198,0.84357171
18.403883,1.97098596,0.84167838
18.404370999999998,1.98321903,0.80866773
18.404859,1.97977572,0.82815039
18.405347999999996,1.97633241,0.88178166
18.405836,1.9881927,0.87137325
18.406323999999998,1.99507932,0.89826246
18.406813,2.01572937,0.87570927
18.407300999999997,2.02032045,0.87118686
18.407789,2.03332851,0.84592611
18.408277,2.03485887,0.82283337
18.408766,2.03447628,0.83027916
18.409253999999997,2.03715441,0.82530549
18.409742,2.02720707,0.85797279
18.41023,2.01496419,0.89458371
18.410719,2.00426148,0.8846658
18.411206999999997,2.00043558,0.88045731
18.411695,1.98513198,0.85447062
18.412184,1.98168867,0.82366722
18.412672,1.98551457,0.82898424
18.413159999999998,1.98398421,0.81090441
18.413648,1.9843668,0.83236869
18.414136999999997,1.98781011,0.85531428
18.414625,1.98321903,0.87928011
18.415112999999998,1.98895788,0.90069534
18.415602,2.00693961,0.90377568
18.416089999999997,2.01343383,0.89439732
18.416578,2.01725973,0.8616123
18.417066,2.03791959,0.839736
18.417555,2.01725973,0.86126895
18.418042999999997,2.02797225,0.85777659
18.418531,2.01228606,0.8712261
18.41902,1.98474939,0.89587863
18.419508,1.99278378,0.89488782
18.419995999999998,1.97709759,0.91205532
18.420484,1.96754265,0.89044389
18.420972999999996,1.98895788,0.86962707
18.421461,1.97977572,0.83263356
18.421948999999998,1.99048824,0.82956303
18.422438,1.99890522,0.83802906
18.422925999999997,1.98742752,0.85793355
18.423414,1.99775745,0.88121268
18.423902,2.01381642,0.89340651
18.424391,1.99852263,0.90513927
18.424878999999997,2.02032045,0.89119926
18.425367,2.02032045,0.88391043
18.425855,2.03638923,0.84904569
18.426344,2.03065038,0.84357171
18.426831999999997,2.0337111,0.83719521
18.42732,2.01496419,0.85762944
18.427809,1.99507932,0.87722982
18.428297,1.98474939,0.88060446
18.428784999999998,1.97213373,0.88391043
18.429273,1.95989085,0.86187717
18.429761999999997,1.96830783,0.85899303
18.43025,1.96295157,0.83285919
18.430737999999998,1.97748018,0.81694737
18.431227,1.9881927,0.81580941
18.431714999999997,1.976715,0.8308089
18.432203,1.98666234,0.86420214
18.432691,1.98895788,0.88801101
18.43318,1.99278378,0.89682039
18.433667999999997,2.01038292,0.87672951
18.434156,1.99890522,0.87631749
18.434645,2.02032045,0.85819842
18.435133,2.01802491,0.8380683
18.435620999999998,2.00196594,0.83427183
18.436109,2.00005299,0.83658699
18.436597999999996,1.98398421,0.85553991
18.437086,1.9579779,0.88565661
18.437573999999998,1.96524711,0.90168615
18.438063,1.94764797,0.89279829
18.438550999999997,1.95836049,0.87608205
18.439039,1.96486452,0.85059567
18.439527,1.976715,0.84752514
18.440016,1.98168867,0.84243375
18.440503999999997,1.9881927,0.84904569
18.440992,1.99928781,0.8747577
18.44148,1.9958445,0.89154261
18.441969,2.00464407,0.92071755
18.442456999999997,2.00961774,0.91402713
18.442945,2.00655702,0.90669906
18.443434,2.02414635,0.87680799
18.443922,2.02414635,0.84520998
18.444409999999998,2.01687714,0.85295007
18.444898,2.00426148,0.84851595
18.445386999999997,1.98207126,0.86134743
18.445875,1.97824536,0.87471846
18.446362999999998,1.96486452,0.8829981
18.446852,1.95912567,0.8914347
18.447339999999997,1.97098596,0.87867189
18.447828,1.97441946,0.85124313
18.448316,1.99699227,0.82518777
18.448805,2.00579184,0.81915462
18.449292999999997,2.00158335,0.83472309
18.449781,2.01038292,0.85333266
18.45027,2.02108563,0.87422796
18.450758,1.99354896,0.88277247
18.451245999999998,2.01572937,0.88729488
18.451734,2.01038292,0.8978112
18.452222999999996,2.00961774,0.87179508
18.452711,2.01764232,0.83882367
18.453198999999998,2.00502666,0.81774198
18.453688,1.99660968,0.82096947
18.454175999999997,1.99393155,0.83119149
18.454664,1.97289891,0.86120028
18.455152,1.95950826,0.86924448
18.455641,1.96256898,0.87065712
18.456128999999997,1.95759531,0.86248539
18.456617,1.97480205,0.86039586
18.457105,1.97862795,0.82662984
18.457594,1.99507932,0.82086156
18.458081999999997,2.00005299,0.82230363
18.45857,2.01266865,0.84531789
18.459059,2.01038292,0.87106914
18.459547,2.00311371,0.90665982
18.460034999999998,2.01879009,0.91437048
18.460523,2.00961774,0.90696393
18.461011999999997,2.00579184,0.88409682
18.4615,2.02032045,0.86294646
18.461987999999998,1.99163601,0.84908493
18.462477,1.99125342,0.84436632
18.462964999999997,1.99660968,0.84425841
18.463453,1.96218639,0.86461416
18.463941,1.97901054,0.89283753
18.46443,1.96371675,0.90400131
18.464917999999997,1.96295157,0.90696393
18.465406,1.98283644,0.87281532
18.465895,1.98551457,0.85960125
18.466383,1.98704493,0.84494511
18.466870999999998,2.01879009,0.84604383
18.467359,2.0111481,0.86392746
18.467847999999996,2.02261599,0.86594832
18.468336,2.00923515,0.88808949
18.468823999999998,2.01076551,0.92120805
18.469313,2.01381642,0.90180387
18.469800999999997,1.98895788,0.89173881
18.470289,2.0034963,0.83749932
18.470777,1.99737486,0.82488366
18.471266,1.9805409,0.82906272
18.471753999999997,1.98934047,0.8244324
18.472242,1.96869042,0.85645224
18.47273,1.97366409,0.84999726
18.473219,1.96754265,0.86897961
18.473706999999997,1.97136855,0.88106553
18.474195,1.97366409,0.86028795
18.474684,1.97939313,0.84304197
18.475172,2.00387889,0.8173692
18.475659999999998,2.00005299,0.81493632
18.476148,2.01611196,0.83981448
18.476636999999997,2.02108563,0.86457492
18.477125,2.01572937,0.88557813
18.477612999999998,2.00693961,0.89823303
18.478102,2.00846997,0.88334145
18.478589999999997,1.98781011,0.88581357
18.479078,1.99507932,0.85413708
18.479566,1.98283644,0.82875861
18.480055,1.96295157,0.82956303
18.480542999999997,1.97633241,0.8060877
18.481031,1.96218639,0.85978764
18.48152,1.96907301,0.86339772
18.482008,1.96830783,0.89986149
18.482495999999998,1.97060337,0.89298468
18.482984,1.9732815,0.88413606
18.483472999999996,1.97901054,0.87813234
18.483961,1.98972306,0.85527504
18.484448999999998,2.00655702,0.86331924
18.484938,2.02032045,0.8486631
18.485425999999997,2.01000033,0.86814576
18.485914,2.02108563,0.91414485
18.486402,2.01496419,0.92816334
18.486891,2.00043558,0.92553426
18.487378999999997,1.99775745,0.90563958
18.487867,1.98589716,0.87567003
18.488355,1.97824536,0.85891455
18.488844,1.976715,0.84732894
18.489331999999997,1.97289891,0.84403278
18.48982,1.97594982,0.83871576
18.490309,1.98130608,0.85846329
18.490797,1.98551457,0.88581357
18.491284999999998,1.97518464,0.90024408
18.491773,1.98589716,0.88307658
18.492261999999997,1.99660968,0.86370183
18.49275,1.9920186,0.82959246
18.493237999999998,2.02146822,0.83825469
18.493727,2.01917268,0.83898063
18.494214999999997,2.02185081,0.84941847
18.494703,2.02720707,0.86400594
18.495191,2.0111481,0.8825076
18.49568,2.01266865,0.89667324
18.496167999999997,2.00158335,0.88695153
18.496656,1.9732815,0.86035662
18.497145,1.97518464,0.82169541
18.497633,1.96256898,0.81477936
18.498120999999998,1.95950826,0.80144757
18.498609,1.98207126,0.83821545
18.499097999999996,1.97862795,0.85450986
18.499586,1.99125342,0.88265475
18.500073999999998,1.98551457,0.88786386
18.500563,1.9843668,0.88440093
18.501050999999997,1.99431414,0.89606502
18.501539,2.00693961,0.86248539
18.502027,2.00579184,0.83932398
18.502516,2.01955527,0.83476233
18.503003999999997,2.02299858,0.86339772
18.503492,2.0298852,0.88641198
18.50398,2.01572937,0.91061325
18.504469,2.01343383,0.90913194
18.504956999999997,1.99622709,0.89880201
18.505445,1.98207126,0.89226855
18.505934,1.98245385,0.86059206
18.506422,1.95759531,0.86173002
18.506909999999998,1.97748018,0.81842868
18.507398,1.97748018,0.83309463
18.507886999999997,1.98168867,0.84843747
18.508375,1.99316637,0.89237646
18.508862999999998,1.97824536,0.90529623
18.509352,1.99316637,0.90043047
18.509839999999997,2.00540925,0.88490124
18.510328,1.99660968,0.87160869
18.510816,2.01572937,0.85797279
18.511305,2.02261599,0.84831975
18.511792999999997,2.00808738,0.84763305
18.512281,2.04059772,0.84190401
18.51277,2.01266865,0.89412264
18.513258,2.00426148,0.90274563
18.513745999999998,1.99928781,0.89515269
18.514234,1.9732815,0.87684723
18.514722999999996,1.96524711,0.83214306
18.515211,1.97136855,0.82978866
18.515698999999998,1.97441946,0.81296451
18.516188,1.97022078,0.82583523
18.516675999999997,2.0034963,0.83362437
18.517164,1.9958445,0.8390493
18.517652,1.99507932,0.88823664
18.518141,2.01725973,0.88687305
18.518628999999997,2.01038292,0.89762481
18.519117,2.00120076,0.8587674
18.519605,2.01496419,0.82401057
18.520094,2.01802491,0.83590029
18.520581999999997,2.02032045,0.84099168
18.52107,2.02835484,0.85261653
18.521559,2.00426148,0.87479694
18.522047,2.0073222,0.88224273
18.522534999999998,1.99278378,0.89978301
18.523023,1.97175114,0.88854075
18.523511999999997,1.96371675,0.87601338
18.524,1.96409934,0.84152142
18.524487999999998,1.96065603,0.81512271
18.524977,1.98130608,0.83753856
18.525464999999997,1.98551457,0.84436632
18.525953,1.98666234,0.89279829
18.526441,2.00273112,0.91079964
18.52693,2.00273112,0.91710747
18.527417999999997,1.99814004,0.9208647
18.527906,2.01038292,0.90874935
18.528395,1.99814004,0.88967871
18.528883,2.00693961,0.85177287
18.529370999999998,2.01496419,0.83643003
18.529859,2.01343383,0.85656015
18.530347999999996,2.00464407,0.86621319
18.530836,1.99660968,0.91398789
18.531323999999998,1.9881927,0.8947701
18.531813,1.97366409,0.8888841
18.532300999999997,1.96830783,0.86879322
18.532789,1.96524711,0.85363677
18.533277,1.96601229,0.83575314
18.533766,1.97977572,0.81842868
18.534253999999997,1.99048824,0.81538758
18.534742,2.00426148,0.84076605
18.53523,2.00655702,0.87205995
18.535719,2.02491153,0.90757215
18.536206999999997,2.01802491,0.88699077
18.536695,2.01534678,0.86469264
18.537184,2.01725973,0.86264235
18.537672,2.02758966,0.8380683
18.538159999999998,2.00885256,0.83912778
18.538648,2.00923515,0.82750293
18.539136999999997,2.01649455,0.82739502
18.539625,1.99010565,0.86621319
18.540112999999998,1.99431414,0.87627825
18.540602,1.9881927,0.88831512
18.541089999999997,1.94764797,0.87722982
18.541578,1.97939313,0.83027916
18.542066,1.96409934,0.83969676
18.542555,1.96869042,0.81250344
18.543042999999997,1.98589716,0.84706407
18.543531,1.98589716,0.84714255
18.54402,2.00196594,0.88129116
18.544508,2.01038292,0.90213741
18.544995999999998,2.00885256,0.92094318
18.545484,2.00579184,0.92553426
18.545972999999996,2.00120076,0.89667324
18.546461,1.99278378,0.86328981
18.546948999999998,2.00043558,0.83370285
18.547438,1.98972306,0.85618737
18.547925999999997,1.9843668,0.85766868
18.548414,1.976715,0.88843284
18.548902,1.98015831,0.88816797
18.549391,1.96409934,0.90270639
18.549878999999997,1.96027344,0.89856657
18.550367,1.96524711,0.88527402
18.550855,1.95070869,0.85645224
18.551344,1.98895788,0.81185598
18.551831999999997,1.97709759,0.82451088
18.55232,1.99507932,0.83521359
18.552809,2.01496419,0.89200368
18.553297,2.01879009,0.90054819
18.553784999999998,2.00846997,0.89735994
18.554273,2.03294592,0.90525699
18.554761999999997,2.01191328,0.88516611
18.55525,2.00655702,0.87153021
18.555737999999998,2.00655702,0.82313748
18.556227,1.98857529,0.81326862
18.556714999999997,1.98972306,0.80855001
18.557203,1.98130608,0.84969315
18.557691,1.97977572,0.87634692
18.55818,1.97480205,0.8877069
18.558667999999997,1.96983819,0.8646534
18.559156,1.97977572,0.86355468
18.559645,1.97136855,0.84259071
18.560133,1.98360162,0.81497556
18.560620999999998,1.98130608,0.82974942
18.561109,1.99546191,0.80897184
18.561597999999996,2.00081817,0.84782925
18.562086,2.01076551,0.87228558
18.562573999999998,2.00846997,0.91649925
18.563063,2.00426148,0.91847106
18.563550999999997,2.00196594,0.8914347
18.564039,1.99660968,0.86921505
18.564527,1.98895788,0.83962809
18.565016,1.96907301,0.8368911
18.565503999999997,1.96907301,0.84251223
18.565992,1.95874308,0.84137427
18.56648,1.96256898,0.87650388
18.566969,1.97060337,0.88884486
18.567456999999997,1.97022078,0.92481813
18.567945,1.97441946,0.8994789
18.568434,1.96830783,0.87912315
18.568922,1.97594982,0.84113883
18.569409999999998,1.98589716,0.8402265
18.569898,1.98895788,0.86605623
18.570386999999997,2.00540925,0.86901885
18.570875,2.00961774,0.89826246
18.571362999999998,2.0184075,0.9001656
18.571852,2.02529412,0.93795372
18.572339999999997,2.01764232,0.90252
18.572828,1.99737486,0.89367138
18.573316,1.9996704,0.83582181
18.573805,1.98283644,0.8190369
18.574292999999997,1.95950826,0.81850716
18.574781,1.97901054,0.84076605
18.57527,1.94726538,0.86571288
18.575758,1.97556723,0.87126534
18.576245999999998,1.97824536,0.88295886
18.576734,1.98551457,0.88098705
18.577222999999996,1.98092349,0.87961365
18.577711,1.99354896,0.84318912
18.578198999999998,1.98704493,0.82557036
18.578688,1.9958445,0.81326862
18.579175999999997,1.9996704,0.82454031
18.579664,2.00579184,0.88261551
18.580152,2.00502666,0.88910973
18.580641,2.0073222,0.9138015
18.581128999999997,2.01266865,0.89131698
18.581617,1.9920186,0.88200729
18.582105,1.99048824,0.85450986
18.582594,1.95989085,0.82534473
18.583081999999997,1.94917833,0.81436734
18.58357,1.95491718,0.80111403
18.584059,1.94956092,0.8545491
18.584547,1.96754265,0.87145173
18.585034999999998,1.96754265,0.91862802
18.585523,1.97862795,0.89188596
18.586011999999997,1.99125342,0.8924157
18.5865,1.97824536,0.85538295
18.586987999999998,1.99393155,0.86412366
18.587477,1.99163601,0.85751172
18.587964999999997,1.98895788,0.8422866
18.588453,2.0073222,0.8806437
18.588941,2.01419901,0.89971434
18.58943,2.00311371,0.92865384
18.589917999999997,2.01266865,0.92254221
18.590406,1.99125342,0.90799398
18.590895,1.98130608,0.86096484
18.591383,1.97709759,0.83366361
